Descricao,Valor
ACOLHIMENTO EM TERCEIRO TURNO DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL,"0,00"
ACOLHIMENTO INICIAL POR CENTRO DE ATENCAO PSICOSSOCIAL,"0,00"
ACOLHIMENTO NOTURNO DE PACIENTE EM CENTRO DE ATENCAO PSICOSSOCIAL,"0,00"
ACOMPANHAMENTO DA POPULACAO INFANTO-JUVENIL COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORREN,"0,00"
"ACOMPANHAMENTO DE DOADOR VIVO POS-DOACAO DE FIGADO, PULMAO OU RIM","135,00"
ACOMPANHAMENTO DE PACIENTE C/ IMPLANTE COCLEAR,"58,62"
ACOMPANHAMENTO DE PACIENTE COM FENILCETONURIA,"27,50"
ACOMPANHAMENTO DE PACIENTE COM FIBROSE CISTICA,"27,50"
ACOMPANHAMENTO DE PACIENTE COM HEMOGLOBINOPATIAS,"27,50"
ACOMPANHAMENTO DE PACIENTE COM HIPOTIREOIDISMO CONGENITO,"27,50"
ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR,"58,62"
ACOMPANHAMENTO DE PACIENTE COM PROTESE AUDITIVA ANCORADA NO OSSO,"58,62"
ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA,"17,67"
ACOMPANHAMENTO DE PACIENTE EM SAUDE MENTAL (RESIDENCIA TERAPEUTICA),"0,00"
ACOMPANHAMENTO DE PACIENTE EM TERAPIA NUTRICIONAL,"0,00"
ACOMPANHAMENTO DE PACIENTE MEDIO / GRANDE QUEIMADO,"15,75"
ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI,"21,68"
ACOMPANHAMENTO DE PACIENTE PEQUENO QUEIMADO,"10,50"
ACOMPANHAMENTO DE PACIENTE PORTADOR DE AGRAVOS RELACIONADOS AO TRABALHO,"0,00"
ACOMPANHAMENTO DE PACIENTE PORTADOR DE SEQUELAS RELACIONADAS AO TRABALHO,"0,00"
ACOMPANHAMENTO DE PACIENTE POS-CIRURGIA BARIATRICA POR EQUIPE MULTIPROFISSIONAL,"40,00"
ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE CORNEA,"115,00"
ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE RIM FIGADO CORACAO PULMAO CELULAS-TRONCO HEMA,"135,00"
ACOMPANHAMENTO DE PACIENTE PRE-CIRURGIA BARIATRICA POR EQUIPE MULTIPROFISSIONAL,"40,00"
ACOMPANHAMENTO DE PACIENTES NO PRE TRANSPLANTE DE ORGAOS,"135,00"
ACOMPANHAMENTO DE PESSOAS ADULTAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO US,"O 0,00"
"ACOMPANHAMENTO DE PESSOAS COM NECESSIDADES DECORRENTES DO USO DE ALCOOL, CRACK E OUTRAS DR","O 0,00"
ACOMPANHAMENTO DE SERVICO RESIDENCIAL TERAPEUTICO POR CENTRO DE ATENCAO PSICOSSOCIAL,"0,00"
ACOMPANHAMENTO E AVALIACAO DE GLAUCOMA POR FUNDOSCOPIA E TONOMETRIA,"17,74"
ACOMPANHAMENTO E AVALIACAO DOMICILIAR DE PACIENTE SUBMETIDO A VENTILACAO MECANICA NAO INVASIVA -,"55,00"
ACOMPANHAMENTO EM SERVICO DE REFERENCIA DE TRIAGEM NEONATAL (SRTN) PACIENTE COM DEFICIENCIA DE,"27,50"
ACOMPANHAMENTO EM SERVICO DE REFERENCIA EM TRIAGEM NEONATAL (SRTN) - HIPERPLASIA ADRENAL CONGE,"27,50"
ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE,"61,00"
ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE,"61,00"
ACOMPANHAMENTO NEUROPSICOLOGICO DE PACIENTE EM REABILITACAO,"17,67"
ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADO EXCLUSIVAMENTE PARA ATENDIMENTO CLINICO,"39,38"
ACOMPANHAMENTO NO PROCESSO TRANSEXUALIZADOR EXCLUSIVO NAS ETAPAS DO PRE E POS-OPERATORIO,"39,38"
ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO,"17,67"
ACONSELHAMENTO GENETICO,"100,00"
ADALIMUMABE 40 MG INJETAVEL (FRASCO AMPOLA),"0,00"
ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA),"0,00"
ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA),"0,00"
ADAPTACAO ABDUTOR TIPO CAVALO PARA CADEIRA DE RODAS,"57,00"
ADAPTACAO DE ASSENTO PARA DEFORMIDADES DE QUADRIL,"136,34"
ADAPTACAO DE ENCOSTO PARA DEFORMIDADES DE TRONCO,"132,00"
ADAPTACAO DE OPM AUXILIARES DE LOCOMOCAO,"0,00"
ADAPTACAO DE OPM OFTALMOLOGICA,"0,00"
ADAPTACAO DE OPM ORTOPEDICA,"0,00"
ADAPTACAO DE PROTESE DENTARIA,"0,00"
ADAPTACAO DO APOIO DE BRACOS DA CADEIRA DE RODAS,"132,00"
ADAPTACAO DO APOIO DE PES DA CADEIRA DE RODAS,"62,50"
ADENOGRAMA,"5,79"
ADENOIDECTOMIA,"48,42"
ADEQUACAO DO COMPORTAMENTO DA PESSOA COM DEFICIENCIA,"0,00"
ADEQUACAO DO COMPORTAMENTO DE CRIANCAS,"0,00"
ADESAO A ASSISTENCIA PRE-NATAL - INCENTIVO PHPN (COMPONENTE I),"0,00"
ADMINISTRACAO DE IMUNODERIVADOS (ORAL E/OU PARENTERAL),"0,00"
ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.,"0,63"
ADMINISTRACAO DE MEDICAMENTOS POR VIA ENDOVENOSA,"0,00"
ADMINISTRACAO DE MEDICAMENTOS POR VIA INTRAMUSCULAR,"0,00"
ADMINISTRACAO DE MEDICAMENTOS POR VIA ORAL,"0,00"
ADMINISTRACAO DE MEDICAMENTOS POR VIA SUBCUTANEA (SC),"0,00"
ADMINISTRACAO DE PENICILINA PARA TRATAMENTO DE SIFILIS,"0,00"
ADMINISTRACAO DE VITAMINA A,"0,00"
ADMINISTRACAO TOPICA DE MEDICAMENTO(S),"0,00"
AFERESE TERAPEUTICA,"180,00"
AFERICAO DE PRESSAO ARTERIAL,"0,00"
AFERICAO DE TEMPERATURA,"0,00"
AGULHA P/ PUNCAO TRANSEPTAL,"324,51"
AJUDA DE CUSTO P / ALIMENTACAO/PERNOITE DE ACOMPANHANTE - (P/TRATAMENTO CNRAC),"24,75"
AJUDA DE CUSTO P/ ALIMENTACAO/PERNOITE DE PACIENTE,"24,75"
AJUDA DE CUSTO PARA ALIMENTACAO DE ACOMPANHANTE S/PERNOITE,"8,40"
AJUDA DE CUSTO PARA ALIMENTACAO DE PACIENTE SEM PERNOITE,"8,40"
AJUDA DE CUSTO PARA ALIMENTACAO PERNOITE DE PACIENTE - (PARA TRATAMENTO CNRAC),"24,75"
AJUDA DE CUSTO PARA ALIMENTACAO/PERNOITE DE ACOMPANHANTE,"24,75"
AJUSTE MEDICAMENTOSO DE SITUACOES NEUROLOGICAS AGUDIZADAS,"309,73"
AJUSTE OCLUSAL,"0,00"
ALARGAMENTO DA ENTRADA VAGINAL,"119,35"
ALBUMINA HUMANA 20 POR CENTO (FRASCO-AMPOLA DE 50 ML),"55,00"
ALCOOLIZACAO DE NERVO CRANIANO,"18,85"
ALCOOLIZACAO PERCUTANEA DE CARCINOMA HEPATICO,"873,45"
ALCOOLIZACAO PERCUTANEA DE HEMANGIOMA E MALFORMACAO VENOSAS (INCLUI ESTUDO ANGIOGRAFICO),"283,18"
"ALFACALCIDOL 0,25 MCG (POR CAPSULA)","0,00"
"ALFACALCIDOL 1,0 MCG (POR CAPSULA)","0,00"
"ALFADORNASE 2,5 MG (POR AMPOLA)","0,00"
ALFAEPOETINA 1.000 UI INJETAVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 10.000 UI INJETAVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 2.000 UI INJETAVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 3.000 UI INJETAVEL (POR FRASCO-AMPOLA),"0,00"
ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA),"0,00"
ALFAINTERFERONA 2B 10.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),"262,45"
ALFAINTERFERONA 2B 3.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),"92,33"
ALFAINTERFERONA 2B 5.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),"138,03"
ALFAPEGINTERFERONA 2A 180MCG (POR SERINGA PREENCHIDA),"0,00"
ALFAPEGINTERFERONA 2B 100MCG (POR FRASCO-AMPOLA),"0,00"
ALFAPEGINTERFERONA 2B 120MCG (POR FRASCO-AMPOLA),"0,00"
ALFAPEGINTERFERONA 2B 80MCG (POR FRASCO-AMPOLA),"0,00"
ALFATALIGLICERASE 200 U INJETAVEL (POR FRASCO AMPOLA),"0,00"
ALFAVELAGLICERASE 200 U INJETAVEL (POR FRASCO AMPOLA),"0,00"
ALFAVELAGLICERASE 400 U INJETAVEL (POR FRASCO AMPOLA),"0,00"
ALMOFADA DE ASSENTO PARA CADEIRA DE RODAS PARA PREVENCAO DE ULCERAS DE PRESSAO - SIMPLES,"17,38"
ALMOFADA DE ASSENTO PARA PREVENCAO DE ULCERAS DE PRESSAO EM CELULAS DE AR,"995,00"
ALONGAMENTO / ENCURTAMENTO MIOTENDINOSO,"253,93"
ALONGAMENTO DE COLUMELA,"200,76"
ALONGAMENTO DE COLUMELA EM PACIENTE COM ANOMALIAS CRANIO E BUCOMAXILOFACIAL,"432,24"
ALONGAMENTO E/OU TRANSPORTE DE OSSOS DA MAO E/OU DO PE,"258,26"
ALONGAMENTO E/OU TRANSPORTE OSSEO DE OSSOS LONGOS (EXCETO DA MAO E DO PE),"809,74"
ALTEPLASE 10MG INJETAVEL ( POR FRASCO AMPOLA),"167,00"
ALTEPLASE 20MG INJETAVEL (POR FRASCO AMPOLA),"334,00"
ALTEPLASE 50MG INJETAVEL (POR FRASCO AMPOLA),"835,00"
ALVEOLOPLASTIA COM ENXERTO OSSEO EM PACIENTE COM ANOMALIA CRANIOFACIAL,"1.003,10"
AMANTADINA 100 MG (POR COMPRIMIDO),"0,41"
AMBRISENTANA 10MG (POR COMPRIMIDO REVESTIDO),"25,72"
AMBRISENTANA 5MG (POR COMPRIMIDO REVESTIDO),"25,53"
AMIGDALECTOMIA,"45,47"
AMIGDALECTOMIA C/ ADENOIDECTOMIA,"35,53"
AMNIOCENTESE,"2,20"
AMNIOSCOPIA,"1,69"
AMPLIACAO DE VIA DE SAIDA DO VENTRICULO DIREITO E/OU RAMOS PULMONARES,"11.187,16"
AMPLIACAO DE VIA DE SAIDA DO VENTRICULO DIREITO E/OU RAMOS PULMONARES (CRIANCA E ADOLESCENTE),"15.991,52"
AMPLIACAO DE VIA DE SAIDA DO VENTRICULO ESQUERDO,"12.849,23"
AMPLIACAO DE VIA DE SAIDA DO VENTRICULO ESQUERDO (CRIANCA E ADOLESCENTE),"19.664,32"
AMPUTACAO / DESARTICULACAO DE DEDO,"28,42"
AMPUTACAO / DESARTICULACAO DE MAO E PUNHO,"193,30"
AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,"892,74"
AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES EM ONCOLOGIA,"2.860,63"
AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES,"359,46"
AMPUTACAO / DESARTICULACAO DE MEMBROS SUPERIORES EM ONCOLOGIA,"2.860,63"
AMPUTACAO / DESARTICULACAO DE PE E TARSO,"274,01"
AMPUTACAO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA,"5.556,76"
AMPUTACAO COMPLETA ABDOMINO-PERINEAL DO RETO,"1.403,90"
AMPUTACAO CONICA DE COLO DE UTERO COM COLPECTOMIA EM ONCOLOGIA,"1.808,69"
AMPUTACAO DE PENIS,"505,01"
AMPUTACAO DE PENIS EM ONCOLOGIA,"839,28"
AMPUTACAO POR PROCIDENCIA DE RETO,"716,48"
AMPUTACAO TOTAL AMPLIADA DE PENIS EM ONCOLOGIA,"1.091,07"
ANALGESIA OBSTETRICA P/ PARTO NORMAL,"48,30"
ANALISE ACUSTICA DA VOZ POR MEIO DE LABORATORIO DE VOZ,"4,11"
ANALISE DE BACTERIAS PATOGENICAS EM AGUA,"0,00"
ANALISE DE BACTERIAS PATOGENICAS EM SOLO,"0,00"
"ANALISE DE CARACTERES FISICOS, ELEMENTOS E SEDIMENTO DA URINA","3,70"
ANALISE DE COLIFORMES E BACTERIAS HETEROTROFICAS EM AGUA,"0,00"
ANALISE DE DNA PELA TECNICA DE SOUTHERN BLOT,"0,00"
ANALISE DE DNA POR MLPA,"0,00"
ANALISE DE METAIS PESADOS,"0,00"
ANALISE DE PROJETOS BASICOS DE ARQUITETURA,"0,00"
ANALISE DE RESIDUOS DE PESTICIDAS,"0,00"
ANALISE FISICO-QUIMICA DE AGUA,"0,00"
ANASTOMOSE BILEO-DIGESTIVA,"1.161,31"
ANASTOMOSE BILEO-DIGESTIVA EM ONCOLOGIA,"1.252,60"
ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL,"8.431,76"
ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL (CRIANCA E ADOLESCENTE),"14.685,43"
ANASTOMOSE CAVO-PULMONAR TOTAL,"16.557,69"
ANASTOMOSE ESPLENO-RENAL / OUTRA DERIVACAO CENTRAL,"1.137,80"
ANASTOMOSE LINFOVENOSA,"1.142,89"
ANASTOMOSE PORTO-CAVA,"1.254,33"
ANASTOMOSE SISTEMICO PULMONAR COM CEC,"3.855,37"
ANASTOMOSE SISTEMICO PULMONAR COM CEC (CRIANCA E ADOLESCENTE),"8.426,52"
ANASTOMOSE SISTEMICO-PULMONAR,"5.554,95"
ANASTOMOSE SISTEMICO-PULMONAR (CRIANCA E ADOLESCENTE),"12.131,83"
ANASTOMOSE VASCULAR EXTRA / INTRACRANIANA,"4.846,89"
ANCORA,"197,60"
ANDADOR FIXO / ARTICULADO EM ALUMINIO COM QUATRO PONTEIRAS.,"130,00"
ANEL P/ ANELOPLASTIA VALVULAR,"218,12"
ANESTESIA GERAL,"84,00"
ANESTESIA OBSTETRICA P/ CESARIANA,"61,18"
ANESTESIA OBSTETRICA P/CESARIANA EM GESTACAO DE ALTO RISCO,"96,60"
ANESTESIA REGIONAL,"22,27"
ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL,"1.622,26"
ANEURISMECTOMIA TORACO-ABDOMINAL,"4.155,21"
ANEXECTOMIA UNI / BILATERAL EM ONCOLOGIA,"1.545,10"
ANGIOGRAFIA CEREBRAL (4 VASOS),"179,46"
ANGIOGRAFIA CEREBRAL P/ DIAGNOSTICO DE MORTE ENCEFALICA (4 VASOS),"0,00"
ANGIOGRAFIA DE ARCO AORTICO,"137,01"
ANGIOGRAFIA DE ARCO AORTICO E TRONCOS SUPRA-AORTICOS,"137,01"
ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS,"1.575,72"
ANGIOPLASTIA CORONARIANA,"1.575,72"
ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS,"1.575,72"
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT,"1.575,72"
ANGIOPLASTIA CORONARIANA PRIMARIA,"1.747,52"
ANGIOPLASTIA EM ENXERTO CORONARIANO,"1.575,72"
ANGIOPLASTIA EM ENXERTO CORONARIANO (COM IMPLANTE DE STENT),"1.575,72"
ANGIOPLASTIA INTRACRANIANA EM VASO-ESPASMO,"807,81"
"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (COM STENT)","1.614,75"
"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (SEM STENT)","1.614,75"
ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NAO RECOBERTO),"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT RECOBERTO),"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT),"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO / TRONCOS SUPRA-AORTICOS (SEM STENT),"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO OU TRONCOS SUPRA-AORTICOS (COM STENT NAO RECOBE,"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS,"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NAO RECOBERTO,"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO,"1.065,36"
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOCO / TRONCOS SUPRA-AORTICOS (COM STENT RECOBERTO),"1.065,36"
ANGIORESSONANCIA CEREBRAL,"268,75"
ANTIBIOGRAMA,"4,98"
ANTIBIOGRAMA C/ CONCENTRACAO INIBITORIA MINIMA,"13,33"
ANTIBIOGRAMA P/ MICOBACTERIAS,"13,33"
ANTIBIOTICOTERAPIA PARENTERAL,"0,00"
ANTROSTOMIA DE MAXILA INTRANASAL,"44,34"
ANTROTOMIA DA MASTOIDE (DRENAGEM DE OTITE NO LACTENTE),"295,09"
AORTOGRAFIA ABDOMINAL,"189,73"
AORTOGRAFIA TORACICA,"170,44"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO DE CONDUCAO OSSEA CONVENCIONAL TIPO A,"500,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO DE CONDUCAO OSSEA RETROAURICULAR TIPO,"500,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO INTRA-AURICULAR TIPO A,"525,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO INTRA-AURICULAR TIPO B,"700,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO INTRA-AURICULAR TIPO C,"1.100,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO INTRACANAL TIPO A,"525,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO INTRACANAL TIPO B,"700,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO INTRACANAL TIPO C,"1.100,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO MICROCANAL TIPO A,"525,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO MICROCANAL TIPO B,"700,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO MICROCANAL TIPO C,"1.100,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO RETRO-AURICULAR TIPO A,"525,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO RETRO-AURICULAR TIPO B,"700,00"
APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) EXTERNO RETRO-AURICULAR TIPO C,"1.100,00"
APARELHO FIXO BILATERAL PARA FECHAMENTO DE DIASTEMA,"10,00"
APARELHO ORTODONTICO FIXO,"175,00"
APARELHO ORTOPEDICO E ORTODONTICO REMOVIVEL,"60,00"
APARELHO ORTOPEDICO FIXO,"175,00"
APARELHO P/ BLOQUEIO MAXILO-MANDIBULAR,"23,54"
APENDICECTOMIA,"414,62"
APENDICECTOMIA VIDEOLAPAROSCOPICA,"421,40"
APICECTOMIA COM OU SEM OBTURACAO RETROGRADA,"21,92"
APLICACAO DE CARIOSTATICO (POR DENTE),"0,00"
APLICACAO DE FATOR IX DE COAGULACAO,"5,39"
APLICACAO DE FATOR VIII DE COAGULACAO,"5,39"
APLICACAO DE PLACA RADIOATIVA EPISCLERAL,"1.145,16"
APLICACAO DE SELANTE (POR DENTE),"0,00"
APLICACAO DE SUPLEMENTOS DE MICRONUTRIENTES,"0,00"
APLICACAO DE TESTE P/ PSICODIAGNOSTICO,"2,74"
APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),"0,00"
APOIO A SERVICO RESIDENCIAL DE CARATER TRANSITORIO POR CENTRO DE ATENCAO PSICOSSOCIAL,"0,00"
APOIO PARA ESTABILIZACAO DA CABECA NA CADEIRA DE RODAS,"82,80"
APOIOS LATERAIS DE QUADRIL PARA CADEIRA DE RODAS,"90,50"
APOIOS LATERAIS DO TRONCO EM 3 OU 4 PONTOS,"90,50"
APROFUNDAMENTO DE VESTIBULO ORAL (POR SEXTANTE),"21,92"
APROVACAO DE PROJETOS BASICOS DE ARQUITETURA,"0,00"
ARITENOIDECTOMIA COM LARINGOFISSURA,"991,37"
ARRUELA DENTEADA,"41,06"
ARRUELA LISA,"8,05"
ARRUELAS DE TITANIO PARA CIRURGIA DA COLUNA,"86,81"
ARTERIOGRAFIA CERVICO-TORACICA,"201,01"
ARTERIOGRAFIA DE MEMBRO,"179,46"
ARTERIOGRAFIA DIGITAL (POR VIA VENOSA),"200,01"
ARTERIOGRAFIA P/ INVESTIGACAO DE DOENCA ARTERIOSCLEROTICA AORTO-ILIACA E DISTAL,"504,33"
ARTERIOGRAFIA P/ INVESTIGACAO DE HEMORRAGIA CEREBRAL,"504,43"
ARTERIOGRAFIA P/ INVESTIGACAO DE ISQUEMIA CEREBRAL,"504,43"
ARTERIOGRAFIA PELVICA,"170,44"
ARTERIOGRAFIA SELETIVA DE CAROTIDA,"190,31"
ARTERIOGRAFIA SELETIVA POR CATETER (POR VASO),"201,51"
ARTERIOGRAFIA SELETIVA VERTEBRAL,"201,01"
ARTROCENTESE DE GRANDES ARTICULACOES,"30,69"
ARTROCENTESE DE PEQUENAS ARTICULACOES,"0,00"
ARTRODESE CERVICAL / CERVICO TORACICA POSTERIOR CINCO NIVEIS,"2.781,70"
ARTRODESE CERVICAL / CERVICO TORACICA POSTERIOR QUATRO NIVEIS,"2.781,70"
ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR DOIS NIVEIS,"1.303,00"
ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR SEIS NIVEIS,"1.600,27"
ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR TRES NIVEIS,"2.781,70"
ARTRODESE CERVICAL / CERVICO-TORACICA POSTERIOR UM NIVEL,"1.576,00"
ARTRODESE CERVICAL ANTERIOR C1-C2 VIA TRANS-ORAL / EXTRA-ORAL,"1.719,06"
ARTRODESE CERVICAL ANTERIOR CINCO NIVEIS,"2.781,70"
ARTRODESE CERVICAL ANTERIOR DOIS NIVEIS,"1.413,00"
ARTRODESE CERVICAL ANTERIOR QUATRO NIVEIS,"2.781,70"
ARTRODESE CERVICAL ANTERIOR TRES NIVEIS,"2.072,72"
ARTRODESE CERVICAL ANTERIOR UM NIVEL,"1.413,00"
ARTRODESE CERVICAL POSTERIOR C1-C2,"1.303,15"
ARTRODESE COXOFEMORAL,"1.635,28"
ARTRODESE DA SINFISE PUBICA,"784,95"
ARTRODESE DE ARTICULACOES SACROILIACAS,"784,95"
ARTRODESE DE GRANDES ARTICULACOES ESCAPULO-TORACICAS,"354,91"
ARTRODESE DE GRANDES ARTICULACOES ESCAPULO-UMERAIS,"377,40"
ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR,"371,12"
